storeid	phone	address	cityname	state	restaurant	snackbar	childcare_time
400	851-390-6960	20 West Rocky Hague Way	Glendale	CT	0	0	45
401	457-386-6245	65 North Green Second Parkway	Richmond	AK	1	0	60
402	(551) 910-0168	986 East Rocky Hague Road	Cleveland	IL	1	0	60
403	058-107-5538	277 White Nobel St.	Detroit	MN	1	0	
404	985-538-7005	20 South New Drive	Milwaukee	NY	1	0	60
405	(458) 130-4443	256 Clarendon St.	Charlotte	NY	1	1	
406	962-432-5923	607 North Second Freeway	Riverside	WY	1	1	
407	(779) 757-6873	77 White Old Road	Bakersfield	CA	0	0	
408	313-451-8918	88 South Milton Road	Baton Rouge	GA	0	1	45
409	(092) 912-5853	261 North Green Milton Drive	Stockton	NM	1	1	60
410	944-739-5098	545 Nobel Road	Cleveland	OK	1	1	
411	894-469-5845	15 First Street	Houston	NJ	1	1	30
412	557-901-5017	950 Fabien Drive	Mobile	NC	1	1	
413	(329) 368-3689	229 Milton Drive	Corpus Christi	LA	1	0	30
414	(856) 638-3887	46 White Oak Freeway	Fresno	MA	0	1	30
415	(447) 433-9319	37 Clarendon Drive	Columbus	IL	0	0	45
416	101-995-3908	55 White First Drive	Virginia Beach	MA	1	1	45
417	801-231-9147	16 Oak Avenue	Richmond	ND	0	1	
418	630-488-6874	578 East Second Drive	Phoenix	GA	1	0	45
419	077-694-1574	91 Nobel St.	Nashville	UT	1	1	60
420	105-003-9348	54 North New Parkway	Dallas	CT	1	1	30
421	(438) 369-4919	324 Rocky Nobel Way	Baltimore	WY	1	0	
422	(149) 961-2649	953 Green Second Parkway	Garland	SD	1	1	60
423	(731) 584-7011	596 Cowley Parkway	Shreveport	VT	1	1	45
424	(660) 069-3488	57 East Clarendon Freeway	Charlotte	NY	1	1	
425	(112) 693-7231	85 White First Freeway	Jacksonville	MI	1	1	60
426	(798) 329-5384	80 White Oak Freeway	Atlanta	MN	1	1	30
427	(079) 357-7653	631 White Nobel Street	Long Beach	TN	1	1	60
428	977-267-5042	19 Old Street	Tampa	MS	1	0	60
429	695-900-3687	69 South Fabien Boulevard	Indianapolis	MS	1	0	
430	112-636-6023	760 Green Hague Blvd.	Santa Ana	UT	1	1	45
431	292-719-1434	729 Rocky First Blvd.	Des Moines	NC	1	1	60
432	409-053-7465	65 Rocky Nobel Parkway	Cincinnati	WV	1	1	
433	248-547-4893	56 Old St.	Dallas	CT	1	0	30
434	(086) 774-0729	938 Old Boulevard	Des Moines	RI	0	0	60
435	(174) 316-5781	49 West White Cowley Road	Mobile	RI	0	1	30
436	(515) 302-7371	99 East Milton Drive	San Francisco	MD	0	1	60
437	(313) 292-3700	446 East Second Blvd.	Detroit	MN	1	1	
438	293-640-1552	584 Second Way	Birmingham	VT	1	1	
439	004-792-4292	898 West Old St.	Greensboro	OH	1	1	30
440	876-387-9259	897 Oak Boulevard	Phoenix	GA	1	1	60
441	970-317-2927	420 Second Street	Indianapolis	IN	0	0	30
442	(416) 721-9286	53 North Green Clarendon Avenue	Grand Rapids	OH	1	0	60
443	(026) 374-1985	54 North Green Old Street	Hialeah	NM	1	0	45
444	(579) 783-6013	67 East Hague Freeway	Miami	NY	1	1	45
445	(770) 651-2433	61 White Fabien Way	Cincinnati	WV	1	1	60
446	(965) 158-2296	83 Old Avenue	Raleigh	TN	1	1	30
447	656-489-8295	70 West Green Cowley Parkway	Garland	IA	1	0	45
448	(452) 468-5017	30 South Green Hague Freeway	Jersey	NC	1	0	30
449	487-793-7295	340 South Old St.	Colorado	DE	0	0	30
450	732-237-9511	95 White Clarendon Street	Shreveport	TX	0	1	
451	(068) 139-4883	21 Old Freeway	Jacksonville	MI	1	1	
452	(704) 732-7653	79 Green Oak Street	Baton Rouge	AZ	0	1	45
453	819-665-3234	828 Old Avenue	Glendale	CT	1	1	60
454	846-189-1230	835 White Hague St.	St. Louis	WY	1	1	30
455	(921) 412-9375	53 West Clarendon Freeway	Aurora	NY	1	0	30
456	(625) 662-9610	15 Oak Avenue	Jackson	AZ	1	1	60
457	061-261-0505	65 West Green Oak Freeway	Birmingham	VT	0	1	
458	(431) 623-6047	782 Rocky Oak Freeway	Glendale	CT	1	0	60
459	257-343-1125	235 White Hague Street	San Diego	SD	1	1	30
460	202-278-5435	126 West Rocky Cowley Boulevard	Tampa	NE	1	1	60
461	(001) 059-7610	296 Oak Way	Detroit	KY	1	1	
462	(294) 796-8258	85 Milton Blvd.	Portland	NE	1	0	30
463	920-912-9659	333 White Fabien Freeway	Grand Rapids	MO	1	1	
464	(269) 564-0385	234 Clarendon Parkway	Norfolk	NY	1	1	60
465	(289) 735-5409	420 Clarendon Boulevard	Baltimore	WY	0	1	45
466	975-493-3321	306 East New Avenue	Minneapolis	OR	1	0	
467	(168) 787-7320	22 Milton Street	Long Beach	TN	1	1	45
468	(051) 626-8105	503 South Rocky Second Road	Mobile	OH	1	1	60
469	(568) 223-5621	113 West Old Street	Honolulu	WI	1	1	45
470	(014) 860-1649	460 First Parkway	Indianapolis	MS	1	1	60
471	864-765-4689	753 White Second Freeway	Charlotte	WA	1	0	45
472	(953) 881-7663	41 Cowley Road	Louisville	ID	1	0	30
473	(421) 540-2037	58 South Nobel Way	Dallas	CT	1	0	
474	(675) 388-3808	681 Oak Blvd.	Stockton	NM	1	0	45
475	975-586-5648	76 Clarendon St.	Houston	OR	0	0	
476	(332) 529-0792	27 Rocky Old Way	Stockton	NM	1	1	
477	921-799-5914	79 White Nobel Street	Virginia Beach	MA	1	1	45
478	(294) 673-6934	77 Milton St.	El Paso	OH	1	1	60
479	(673) 883-4712	15 Rocky First Avenue	Washington	ME	0	1	60
480	(830) 956-2452	23 Hague Drive	Louisville	PA	1	1	45
481	(623) 787-5753	83 White Cowley Street	Fort Worth	UT	1	1	30
482	(574) 442-9256	443 Nobel Blvd.	Atlanta	AR	1	0	45
483	(498) 447-3943	637 North Green Hague Way	Lincoln	TX	0	1	
484	(825) 376-0179	196 Milton Blvd.	Tacoma	ID	1	0	60
485	216-522-9897	588 White New Road	San Jose	AL	1	0	30
486	(359) 314-7925	41 North Rocky Second Way	San Diego	SD	1	0	45
487	969-738-2378	737 Nobel Street	Arlington	KS	0	1	45
488	366-531-1565	667 Old Parkway	Grand Rapids	FL	1	1	45
489	478-436-9498	85 Oak Street	St. Petersburg	OK	0	0	60
490	(263) 313-2605	63 Rocky Old Road	Oklahoma	NM	1	0	
491	538-527-4744	36 Oak Avenue	Oklahoma	ND	0	1	
492	726-992-1016	765 Hague Way	Toledo	KY	1	0	60
493	(429) 517-5731	60 New Parkway	Raleigh	TN	1	0	
494	""	96 White Clarendon Road	Tucson	TN	0	1	60
495	(160) 523-9358	72 Green Second Drive	Jersey	WY	1	1	30
496	(280) 040-7594	285 South Green Milton Road	Minneapolis	NJ	0	0	60
497	(793) 643-0210	388 Cowley Blvd.	Akron	OH	1	1	
498	363-973-6519	83 Milton Avenue	El Paso	OH	1	1	60
499	849-912-9717	31 Old Boulevard	Kansas	NH	0	1	30
500	787-467-2255	47 Rocky Hague Parkway	Mobile	OH	1	1	30
501	286-737-2007	93 Second Freeway	Virginia Beach	MA	1	0	45
502	(655) 269-7140	136 West White New Blvd.	Portland	NE	1	1	
503	(275) 327-0402	46 South New Avenue	Charlotte	CA	0	1	30
504	579-544-7331	675 Cowley Way	Los Angeles	HI	0	1	60
505	(052) 002-4648	334 Nobel Street	Riverside	RI	1	1	
506	400-772-1758	35 First Drive	Austin	TX	0	1	45
507	(920) 230-1418	654 White Oak St.	Tacoma	ID	1	1	
508	322-782-3243	88 First Boulevard	Oklahoma	NM	0	0	30
509	(350) 765-5363	912 White Old Boulevard	Little Rock	MN	1	1	60
510	958-827-5904	995 New Road	Charlotte	NY	1	0	30
511	(887) 191-4912	504 North Rocky Fabien Street	Washington	ME	1	1	45
512	(680) 227-3549	895 Rocky Hague St.	Santa Ana	LA	0	1	30
513	(911) 323-6715	63 Cowley Freeway	Grand Rapids	OH	1	1	
514	197-752-8620	57 West Fabien Freeway	Omaha	AZ	1	0	60
515	423-676-7991	653 North New Street	Las Vegas	NH	1	0	30
516	223-546-7817	862 Nobel Avenue	Colorado	MD	0	1	
517	(250) 713-3999	25 East Oak Way	Phoenix	GA	1	0	
518	""	36 Cowley St.	Jersey	VT	1	1	
519	286-733-3450	262 First St.	Virginia Beach	CO	1	1	60
520	450-620-8646	344 Second Parkway	Corpus Christi	NE	1	1	
521	937-881-1597	264 Clarendon Way	Corpus Christi	LA	0	1	30
522	256-639-8033	627 Green Second St.	Jacksonville	NH	1	1	60
523	991-846-7926	55 White Hague Freeway	Indianapolis	IN	1	0	45
524	359-340-0802	47 Rocky Clarendon Parkway	Nashville	UT	0	1	30
525	472-020-3894	81 North Clarendon Street	St. Louis	NC	1	0	45
526	873-445-0403	27 Green Cowley Way	Charlotte	CA	1	0	30
527	931-554-7766	27 South Green Hague Blvd.	Anaheim	CA	1	0	
528	(109) 485-4074	94 Nobel Way	San Diego	AL	1	0	60
529	674-242-7294	753 Green Second Avenue	Cleveland	CT	1	1	30
530	963-031-5181	966 East Rocky Old Blvd.	Lincoln	TX	1	0	45
531	(908) 932-3839	51 Rocky Nobel Road	Stockton	ND	1	0	60
532	369-063-7932	125 Old Freeway	Oakland	NH	1	1	
533	129-450-3843	964 West White First Freeway	Toledo	SC	1	1	60
534	254-496-2804	65 Nobel Avenue	Hialeah	NM	0	1	30
535	(397) 458-9153	164 White Second Road	Boston	CO	1	0	30
536	(315) 935-4279	762 East First Parkway	Denver	NV	1	1	45
537	(001) 293-0691	70 South Green Nobel Boulevard	Albuquerque	WV	1	0	
538	(625) 905-2359	675 Green Cowley Street	Louisville	PA	1	1	60
539	540-540-0600	69 Old St.	Buffalo	AL	1	0	60
540	(097) 126-7609	54 West Rocky New Way	Toledo	KY	1	1	
541	884-328-6557	93 East Green Nobel Boulevard	St. Petersburg	OK	1	1	60
542	(290) 851-5673	880 Rocky Clarendon Avenue	Chicago	MI	1	0	60
543	(733) 620-1779	631 Oak St.	Spokane	NJ	1	1	
544	(322) 188-6212	65 First Freeway	Anaheim	KS	1	1	45
545	375-858-1909	865 Old Blvd.	Yonkers	MA	0	1	45
546	721-569-4226	957 East Hague St.	Seattle	NM	1	1	60
547	(714) 448-2614	448 South Hague St.	Miami	NY	1	0	
548	023-070-0260	561 Rocky First St.	Corpus Christi	NE	0	0	60
549	328-195-4642	424 Milton Drive	San Francisco	NE	1	1	45
550	(948) 192-8056	846 South Hague Freeway	Dallas	CT	1	0	30
551	027-980-7935	330 Second Way	Honolulu	WI	1	0	45
552	776-464-3586	581 Second Parkway	Honolulu	GA	1	1	
553	386-129-9024	108 West Cowley Parkway	New Orleans	LA	1	1	45
554	(697) 323-3621	637 Milton Freeway	Corpus Christi	IN	1	0	60
555	815-185-2932	54 South White First Boulevard	Riverside	WY	1	1	45
556	(765) 349-8224	789 New St.	Madison	SD	1	1	60
557	492-443-4935	10 White First Avenue	Fresno	UT	1	1	60
558	(682) 174-1183	54 Fabien Freeway	Montgomery	KY	0	1	45
559	221-835-7376	77 Rocky Clarendon Way	Spokane	NJ	1	1	45
560	(257) 928-0031	915 West Nobel Boulevard	Buffalo	AL	1	0	
561	801-995-8661	87 Green Milton Drive	Yonkers	MA	0	1	
562	(084) 454-4042	59 West Green Milton Avenue	Cincinnati	CO	1	1	
563	203-573-2663	456 North White Cowley Way	Atlanta	AR	1	0	
564	(701) 039-6872	931 West First Way	Des Moines	RI	1	1	45
565	(517) 339-3963	187 Green New Drive	Denver	WV	1	1	30
566	(589) 147-9622	97 South Fabien St.	Corpus Christi	LA	1	1	60
567	(459) 401-8900	50 Cowley Road	Yonkers	MA	1	0	45
568	(721) 356-9608	688 Clarendon Blvd.	Wichita	AK	1	1	45
569	204-083-9390	889 Rocky Old St.	Baton Rouge	DE	1	0	60
570	(990) 377-4597	74 Oak Street	Anaheim	KS	1	1	30
571	(532) 509-5902	41 West Fabien Parkway	Cincinnati	WV	1	0	45
572	287-218-6057	16 White Second Parkway	Cleveland	OK	0	0	45
573	(681) 462-1242	820 North Fabien St.	El Paso	FL	1	1	30
574	400-084-8642	13 Old Avenue	Pittsburgh	WV	0	1	
575	720-641-7770	12 Old Freeway	Fresno	UT	1	0	
576	748-575-9465	928 South Second Avenue	Houston	NJ	1	1	
577	(058) 868-1761	217 Green Second St.	Miami	MT	1	1	
578	332-277-7570	740 East Hague Boulevard	Columbus	IL	1	0	30
579	(260) 305-8610	36 White New Boulevard	Anchorage	FL	1	1	45
580	202-782-2633	763 East Fabien Freeway	Los Angeles	KS	1	0	45
581	(724) 566-6688	48 South Oak Way	Minneapolis	OR	0	0	60
582	(568) 990-2232	92 North Green Milton Freeway	San Diego	AL	1	1	60
583	347-784-2340	750 South Cowley Way	Wichita	AK	0	1	30
584	(465) 610-7033	813 Green Old Drive	Cleveland	OK	1	1	60
585	014-782-8812	32 Hague Road	Arlington	KS	1	1	45
586	457-632-6468	25 West First Blvd.	Tulsa	HI	1	0	60
587	666-135-9133	37 North First Blvd.	Anchorage	FL	1	1	45
588	777-412-3473	17 East Rocky Fabien Parkway	Stockton	NM	1	1	
589	496-145-1713	93 Green Second Avenue	Anchorage	MT	0	0	60
590	(555) 808-7245	859 Green Hague Parkway	Akron	MO	1	1	60
591	226-516-5410	73 Old Freeway	Miami	MT	1	1	60
592	502-786-8457	463 White First Blvd.	Chicago	NH	1	1	45
593	244-809-0282	739 Green Old St.	Raleigh	NJ	0	1	60
594	001-424-0386	60 White New Street	Corpus Christi	IN	1	1	60
595	322-517-0615	34 Green Hague Street	Little Rock	AR	1	1	60
596	092-107-2823	82 Green Milton Drive	El Paso	OH	1	0	30
597	(407) 246-0075	862 Cowley Road	Lincoln	MN	1	1	30
598	045-686-1457	298 West Rocky Second St.	Oakland	ME	1	0	60
599	944-027-9931	54 Old Street	Rochester	NV	1	1	30
600	916-288-2462	85 Old Avenue	Milwaukee	MT	1	1	60
601	826-707-5556	11 First Road	Austin	TX	0	0	60
602	(555) 840-7958	265 White New Way	Boston	NV	1	1	60
603	105-431-2849	20 Fabien Boulevard	Seattle	HI	0	0	45
604	510-682-8144	44 Oak Drive	Sacramento	CA	1	1	30
605	(578) 353-0718	895 Oak Blvd.	Anchorage	MT	1	1	
606	260-875-9919	74 Rocky New Avenue	Birmingham	VT	1	1	60
607	133-030-0660	99 Oak Drive	Boston	WV	1	0	
608	034-924-1455	61 South Green Clarendon Road	Stockton	NM	1	1	
609	(896) 593-3174	58 West Rocky Old Avenue	St. Paul	WI	1	0	30
610	643-755-5397	638 White Oak Road	Atlanta	TX	1	1	
611	(284) 017-9240	51 East Green Cowley Blvd.	Fresno	UT	0	1	60
612	920-376-1787	42 Green Second Boulevard	Tulsa	NM	1	0	60
613	(434) 844-7248	65 Hague Freeway	San Jose	IA	0	1	
614	414-825-2443	16 Green Oak Parkway	San Antonio	MS	1	0	45
615	(766) 746-7621	240 White Clarendon Boulevard	Jersey	VT	1	1	
616	480-702-3191	40 First Drive	Norfolk	FL	1	1	
617	103-187-5104	69 New Boulevard	Cleveland	OK	1	1	30
618	374-308-3952	11 East Second Parkway	San Jose	ME	1	1	
619	""	922 White New Parkway	El Paso	MO	0	1	45
620	(353) 854-2600	362 White New Blvd.	Corpus Christi	NE	0	1	
621	294-137-6286	552 Fabien Street	Portland	IN	1	1	60
622	(749) 508-8463	673 Rocky Oak Road	Hialeah	HI	0	1	60
623	(586) 251-4219	238 Oak Avenue	Virginia Beach	MA	1	1	60
624	908-379-7247	91 East First Way	Boston	NV	0	1	45
625	006-909-6536	632 Hague Parkway	Sacramento	WA	0	0	
626	966-101-5406	11 Milton Road	Buffalo	IA	1	0	30
627	038-093-6498	607 North Old Blvd.	Las Vegas	ME	1	1	30
628	438-267-5754	388 Hague Blvd.	Sacramento	CA	1	1	
629	(427) 417-6865	41 New Way	Dayton	IL	0	1	45
630	(927) 103-5449	877 Clarendon Way	Mobile	RI	1	0	30
631	(709) 909-6647	735 Milton Road	Birmingham	WY	1	1	30
632	(699) 621-0230	678 White Old Boulevard	St. Paul	GA	1	0	60
633	629-084-9069	785 Second Road	Fresno	MA	1	0	45
634	518-715-4737	89 North Green Clarendon Parkway	Greensboro	OH	1	0	30
635	062-077-7064	36 Old St.	Albuquerque	NV	1	0	30
636	080-757-4827	617 East Cowley Blvd.	Wichita	PA	0	1	45
637	810-995-8797	75 West Green Second Parkway	Phoenix	DE	0	1	45
638	477-445-7603	26 New Freeway	Tucson	TN	1	1	
639	135-055-9357	389 South Green Hague Freeway	Detroit	VA	1	1	60
640	027-655-1021	735 Nobel Freeway	Little Rock	VA	1	1	
641	442-241-1662	76 Rocky Milton Street	Arlington	WA	1	1	30
642	737-885-8061	867 Green Cowley Parkway	Richmond	AK	1	1	60
643	250-031-1841	84 Oak Street	Pittsburgh	CO	0	1	60
644	112-969-3536	64 East First Street	Akron	MO	1	1	30
645	510-972-5723	51 West Green Hague St.	Boston	WV	0	1	60
646	282-303-7228	193 Oak Way	Lincoln	MN	1	1	60
647	255-619-8427	48 East Fabien Street	Santa Ana	LA	1	1	45
648	(641) 964-2625	403 Green Second Street	Charlotte	WA	1	0	
649	487-174-2966	20 Green Milton Street	Wichita	PA	1	0	30
650	(084) 880-0699	203 First Freeway	San Jose	AL	1	1	
651	""	87 Green Old Parkway	Anaheim	HI	1	0	
652	(390) 405-6164	76 Cowley Drive	Toledo	SC	1	1	
653	(229) 213-1777	666 White Oak Way	Aurora	WA	1	0	
654	701-666-8523	822 Rocky Old Road	Boston	WV	1	0	45
655	129-850-6569	46 Cowley Drive	Houston	OR	1	1	
656	(833) 232-0473	536 South Green Old Drive	Memphis	FL	1	1	30
657	340-231-7392	254 Green Fabien Parkway	Montgomery	SC	1	1	
658	(355) 274-1504	43 Second Boulevard	Toledo	SD	1	0	30
659	255-604-5761	31 West Clarendon Blvd.	Yonkers	UT	1	0	
660	596-332-8011	219 Rocky Clarendon Parkway	St. Paul	WI	1	1	60
661	258-556-8460	10 Clarendon Street	Pittsburgh	WV	1	1	
662	(070) 849-8014	922 East Nobel Freeway	Des Moines	NC	1	1	
663	(653) 459-8852	615 Oak Boulevard	Norfolk	NY	1	0	60
664	(123) 804-9021	304 Rocky Clarendon St.	Baton Rouge	DE	1	1	60
665	677-285-1269	79 Milton Street	Grand Rapids	FL	0	0	
666	(925) 160-7862	511 Oak Parkway	Fort Worth	MA	1	0	60
667	(521) 693-0504	404 Old Drive	Greensboro	OH	0	1	60
668	016-931-5692	177 Hague Boulevard	San Antonio	MD	1	1	60
669	084-507-0221	655 South New Boulevard	St. Paul	WI	1	1	
670	195-925-1639	60 Oak Parkway	Madison	SC	1	1	
671	(743) 030-0197	198 Old Boulevard	Tucson	MI	1	1	60
672	(046) 635-0336	697 Hague Freeway	Yonkers	UT	0	1	30
673	(675) 691-9714	985 West New Avenue	New York	TX	0	0	
674	847-246-0530	72 Fabien Road	Cleveland	CT	0	1	30
675	(301) 975-5311	961 Green New Boulevard	Shreveport	WY	0	1	45
676	(495) 656-6139	97 Nobel Boulevard	Louisville	PA	1	1	60
677	702-592-5859	224 Second Boulevard	Newark	GA	1	0	60
678	(930) 322-0137	440 East Green Hague Way	Charlotte	CA	1	1	60
679	309-065-1551	152 East First Road	Baton Rouge	DE	1	1	60
680	(376) 116-0164	614 Rocky Nobel Street	Minneapolis	NJ	1	0	60
681	902-344-8597	483 Rocky Second Boulevard	St. Paul	CT	1	1	30
682	256-067-5664	58 Nobel Freeway	New Orleans	IN	1	0	30
683	(983) 085-3777	77 Fabien Drive	Milwaukee	NY	1	0	30
684	(907) 110-5349	87 Cowley Parkway	Los Angeles	KS	1	1	
685	551-236-2370	103 North Oak Way	Shreveport	TX	1	1	
686	295-593-9229	86 East New St.	Oklahoma	NM	0	1	45
687	(291) 985-5747	87 Oak Freeway	Louisville	AK	0	0	30
688	""	179 Green Second Freeway	Raleigh	OR	1	1	30
689	(846) 283-8130	64 New Freeway	New York	AR	1	1	
690	(586) 217-1511	353 Nobel Blvd.	Lubbock	PA	1	0	
691	377-745-6272	95 Nobel Blvd.	Houston	NJ	1	1	45
692	(107) 532-0259	313 White Oak Way	Nashville	LA	1	1	
693	(309) 192-3528	12 South Green Hague Street	Memphis	MT	1	0	45
694	245-000-8252	321 Rocky Hague Way	Newark	GA	1	1	30
695	(652) 391-2611	68 White First Freeway	Wichita	PA	0	1	
696	(715) 805-6690	54 White New Way	Mobile	NC	1	1	30
697	265-763-3545	280 White Fabien Way	Las Vegas	ME	1	1	45
698	(288) 793-6840	60 White Clarendon Street	Austin	TX	0	0	30
699	(868) 483-0246	76 East Green Clarendon Parkway	Omaha	AZ	1	1	45
700	802-094-7035	945 Fabien Freeway	Dallas	OK	1	1	45
701	964-528-6212	401 West New Road	Virginia Beach	MA	1	1	
702	(864) 147-6201	90 White Milton Street	Minneapolis	NV	0	0	45
703	879-986-7705	41 Milton Street	Toledo	SC	1	1	30
704	(301) 689-6344	176 Old Boulevard	Louisville	ID	1	1	30
705	026-578-2223	73 Cowley Avenue	Birmingham	TX	1	0	60
706	869-352-0158	15 White Clarendon Way	Richmond	PA	1	1	60
707	(054) 033-0692	100 South Second Parkway	Fort Wayne	AZ	1	1	60
708	(795) 853-4902	54 South Green Clarendon Drive	Anchorage	FL	1	0	
709	(149) 618-8736	58 Green Second Freeway	Yonkers	MA	1	1	30
710	(525) 189-5295	726 East Green Oak Boulevard	San Antonio	MS	1	1	
711	(154) 293-7262	770 Rocky Oak Drive	San Jose	ME	0	1	45
712	189-504-3911	710 Rocky Oak Road	Oklahoma	AK	1	0	60
713	867-775-2631	660 White Clarendon Freeway	San Jose	AL	1	1	60
714	435-390-2792	640 Cowley St.	Louisville	PA	1	0	60
715	155-447-4457	36 Milton Blvd.	Tucson	NJ	1	0	45
716	(528) 157-4386	410 Oak Drive	Jackson	MD	1	1	60
717	401-151-0374	39 North New Avenue	Fort Worth	UT	1	1	30
718	(903) 422-8501	258 White Milton St.	Jackson	AZ	0	1	45
719	(122) 566-2958	81 West Hague Drive	Corpus Christi	IN	1	1	
720	257-330-9216	47 Old Freeway	Aurora	NY	1	1	60
721	164-286-1995	233 Green Fabien Street	Indianapolis	MS	1	1	60
722	830-547-7389	61 Nobel Boulevard	Oakland	NH	1	1	30
723	(296) 722-5568	94 Hague Blvd.	Buffalo	IA	1	1	30
724	(488) 745-2605	835 Milton Road	Norfolk	NY	0	0	30
725	802-684-3983	784 New Way	Grand Rapids	FL	1	1	45
726	(759) 229-5017	586 Clarendon Boulevard	Cincinnati	CO	1	0	60
727	(708) 636-2223	76 Green Milton Road	San Diego	IA	0	0	60
728	(489) 128-6323	945 Hague Parkway	Louisville	AK	1	1	30
729	511-584-1679	624 Nobel Freeway	Newark	DE	1	0	
730	274-265-1869	112 First Avenue	Yonkers	LA	1	1	60
731	349-378-0481	46 Milton Street	Boston	CO	1	0	30
732	736-754-9413	374 East Rocky Hague Way	Corpus Christi	LA	0	1	45
733	(032) 149-6467	225 Rocky Nobel Way	Dayton	IL	1	1	30
734	(600) 839-2422	465 Clarendon Boulevard	Colorado	MD	1	0	60
735	541-300-1203	38 West Green Second Avenue	Milwaukee	MT	1	1	45
736	(625) 033-4040	758 White Nobel Blvd.	Sacramento	CA	1	1	60
737	173-851-2534	373 North Rocky Fabien Way	Omaha	MD	1	0	60
738	(880) 081-9212	92 West White New Road	Philadelphia	MO	1	1	30
739	(005) 075-9156	555 South White First Way	Kansas	MI	1	0	
740	996-230-0000	97 Second Parkway	Madison	SD	1	1	60
741	(807) 451-0034	486 First Avenue	Honolulu	WI	1	1	60
742	(988) 960-6406	758 First St.	Philadelphia	FL	1	1	45
743	053-545-3923	285 South Clarendon Boulevard	Raleigh	NJ	1	1	30
744	(953) 056-1604	88 South Fabien Drive	Birmingham	VT	1	1	45
745	(336) 961-7388	268 First Way	Omaha	MS	1	1	30
746	(491) 331-1260	603 North Green Oak Freeway	Phoenix	WI	1	1	60
747	469-365-2436	24 Old Blvd.	Tucson	MI	0	1	45
748	898-567-4417	384 Fabien St.	Anaheim	HI	1	1	30
749	231-730-3853	85 White Second Way	Mobile	OH	1	0	60
750	662-763-3442	73 First Way	Lubbock	IL	0	0	
751	(158) 938-2381	26 Green First Boulevard	Atlanta	AR	1	0	30
752	(606) 124-2490	143 Green Nobel Freeway	Columbus	IL	1	1	60
753	075-278-9941	565 Rocky New St.	Colorado	DE	1	1	
754	388-255-7208	201 White Milton Boulevard	Baltimore	VT	1	0	
755	345-378-8286	446 Second Drive	Glendale	WI	0	0	30
756	077-564-6383	64 East Cowley Parkway	Fort Wayne	AZ	1	1	45
757	025-844-3588	498 East Milton Drive	Omaha	MS	0	1	
758	957-662-5121	735 Oak Way	Miami	WA	1	1	30
759	820-205-7474	959 Second Street	Oakland	NH	0	1	30
760	(411) 753-6278	818 Clarendon Parkway	Omaha	MS	1	0	
761	(631) 547-5868	65 South Hague Boulevard	Birmingham	VT	1	1	45
762	(727) 275-0543	33 White Fabien Street	Tucson	NJ	1	0	45
763	672-549-3089	193 First Freeway	Akron	OH	1	0	
764	530-203-5467	35 Green Old St.	Las Vegas	ME	1	0	
765	(362) 804-5238	136 Old Blvd.	Arlington	KS	1	1	45
766	(963) 928-4605	13 Cowley Parkway	Mobile	RI	0	0	30
767	(176) 960-7607	31 Green First Parkway	Jacksonville	TN	1	1	30
768	775-604-1382	170 White Oak Freeway	New Orleans	LA	1	1	
769	(161) 727-6497	81 North White Oak Avenue	Tampa	MS	1	1	45
770	(872) 419-0682	632 White Milton St.	Jacksonville	MI	1	1	30
771	620-234-5795	856 Rocky Milton Road	Indianapolis	IN	1	0	45
772	104-619-1673	77 Rocky First Drive	Montgomery	SC	1	0	
773	644-431-4259	95 First Drive	Omaha	MD	1	0	
774	152-195-1967	838 Second Blvd.	Oklahoma	AK	1	0	30
775	(139) 704-2515	624 Milton Parkway	Seattle	HI	1	1	
776	523-312-4917	12 White Oak Drive	San Francisco	MS	1	0	
777	248-082-3627	995 South Hague Boulevard	St. Louis	RI	1	0	60
778	(267) 164-5931	476 Second Boulevard	Fort Worth	MA	1	1	60
779	997-089-6459	40 East White Oak Blvd.	Newark	DE	1	1	45
780	974-823-1562	32 North Hague Drive	St. Petersburg	OK	1	1	
781	(993) 871-8274	85 Rocky Milton Road	Garland	IA	1	1	45
782	(020) 099-4827	123 Clarendon Street	Wichita	AK	1	0	30
783	(723) 768-1619	836 Clarendon Avenue	Akron	OH	1	0	30
784	(927) 186-4522	34 North Oak St.	Aurora	NY	1	1	30
785	(446) 685-8064	65 Green First Street	Birmingham	TX	1	1	
786	040-538-0752	113 Cowley Drive	Tacoma	OK	1	0	45
787	784-273-0925	850 Old Blvd.	Tampa	NE	1	1	
788	(377) 148-5170	822 White Cowley Blvd.	Columbus	ID	0	1	45
789	(485) 267-5229	67 New Street	Seattle	HI	1	1	
790	408-149-0901	66 South Hague Way	Jacksonville	NH	1	1	45
791	337-412-3825	28 Fabien Freeway	Des Moines	OH	1	0	30
792	254-545-2688	78 New Avenue	Seattle	ND	0	1	
793	(763) 606-4948	92 Cowley Drive	San Francisco	MS	1	1	
794	(607) 860-5865	68 Green First Freeway	Minneapolis	OR	0	0	
795	(104) 814-4185	489 Nobel St.	Cleveland	IL	1	0	60
796	057-338-9196	58 White Old Blvd.	Charlotte	CA	1	0	
797	(154) 870-5899	380 Second Boulevard	Anaheim	KS	1	1	
798	558-903-0928	44 Milton Drive	Pittsburgh	CO	1	1	60
799	(026) 106-6778	56 Rocky Nobel St.	Cincinnati	WV	1	0	
800	997-596-3670	87 Clarendon Blvd.	St. Paul	WI	0	1	45
801	558-713-1877	408 Nobel Drive	El Paso	FL	1	1	60
