productid	categoryname
6927	Decorative arts
6928	Couches and Sofas
6929	Metal furniture
6930	Door furniture
6930	Living room
6930	Occasional furniture
6931	Glass furniture
6931	Casegoods
6932	Decorative arts
6933	Entertainment
6934	Hutch
6934	Park furniture 
6934	Decorative arts
6935	Bedrooms
6936	Glass furniture
6937	Entertainment
6938	Wooden furniture
6938	Living room
6939	Storage
6940	Stadium seating
6940	Street furniture
6941	Bamboo furniture
6941	Living room
6942	Glass furniture
6943	Sleeping or laying
6944	Bamboo furniture
6944	Metal furniture
6944	Hutch
6945	Entertainment
6946	Wooden furniture
6946	Concrete furniture
6946	Door furniture
6947	Tables
6947	Concrete furniture
6948	Entertainment
6949	Sets
6949	Concrete furniture
6949	Sword furniture
6950	Childrens furniture
6950	Casegoods
6951	Sleeping or laying
6951	Bamboo furniture
6951	Occasional furniture
6952	Outdoor Furniture
6952	Aquarium furniture
6953	Concrete furniture
6953	Street furniture
6954	Bedrooms
6954	Wood finishing
6955	Concrete furniture
6955	Casegoods
6955	List of chairs
6956	Bamboo furniture
6956	Concrete furniture
6957	Wooden furniture
6957	Childrens furniture
6957	Wood finishing
6958	Metal furniture
6958	Bar furniture
6959	Tables
6959	Wood finishing
6960	Bamboo furniture
6961	Bamboo furniture
6961	Street furniture
6962	Stadium seating
6963	Street furniture
6963	Bedrooms
6964	Tables
6964	Wicker or rattan furniture
6964	Wood finishing
6965	Wooden furniture
6965	Bamboo furniture
6966	Bedrooms
6967	Tables
6968	Couches and Sofas
6968	Casegoods
6969	Metal furniture
6969	Childrens furniture
6970	Storage
6970	Hutch
6971	Sets
6971	Park furniture 
6971	Occasional furniture
6972	Storage
6972	Aquarium furniture
6972	Park furniture 
6973	Wicker or rattan furniture
6973	Aquarium furniture
6973	List of chairs
6974	Wooden furniture
6974	Occasional furniture
6975	Outdoor Furniture
6975	Glass furniture
6975	Concrete furniture
6976	Outdoor Furniture
6976	Childrens furniture
6976	Casegoods
6977	Wooden furniture
6977	Aquarium furniture
6978	Entertainment
6978	Tables
6979	Childrens furniture
6980	Sleeping or laying
6980	Casegoods
6980	Decorative arts
6981	Sword furniture
6981	Bedrooms
6981	Living room
6982	Street furniture
6982	Casegoods
6982	Occasional furniture
6983	Hutch
6983	Living room
6984	Wicker or rattan furniture
6984	Stadium seating
6984	Street furniture
6985	Hutch
6986	Entertainment
6986	Street furniture
6986	Wood finishing
6987	Sleeping or laying
6987	Sets
6988	Outdoor Furniture
6988	Metal furniture
6988	Aquarium furniture
6989	Sleeping or laying
6989	Entertainment
6989	Sword furniture
6990	Couches and Sofas
6990	Bar furniture
6990	Street furniture
6991	Sword furniture
6991	Occasional furniture
6992	Childrens furniture
6992	Decorative arts
6993	Door furniture
6994	Metal furniture
6995	Tables
6996	Metal furniture
6996	Couches and Sofas
6997	Bamboo furniture
6997	Decorative arts
6998	Sets
6999	Stadium seating
6999	Occasional furniture
7000	Door furniture
7000	Living room
7000	List of chairs
7001	Sleeping or laying
7001	Hutch
7002	Sleeping or laying
7003	Tables
7003	Metal furniture
7003	List of chairs
7004	Wicker or rattan furniture
7005	Hutch
7005	Street furniture
7005	Bedrooms
7006	Door furniture
7007	Entertainment
7007	Stadium seating
7008	Casegoods
7009	Aquarium furniture
7009	Wood finishing
7010	Glass furniture
7011	Concrete furniture
7011	Bar furniture
7011	Decorative arts
7012	Living room
7013	Living room
7014	Entertainment
7014	Street furniture
7015	Outdoor Furniture
7016	Sleeping or laying
7016	Sets
7017	Wooden furniture
7017	Door furniture
7018	Storage
7018	Street furniture
7018	Casegoods
7019	Outdoor Furniture
7019	Storage
7019	Door furniture
7020	Concrete furniture
7020	Couches and Sofas
7021	Living room
7021	Wood finishing
7022	Park furniture 
7022	Occasional furniture
7023	Sleeping or laying
7023	Wooden furniture
7023	Sword furniture
7024	Metal furniture
7024	Concrete furniture
7024	Couches and Sofas
7025	Wicker or rattan furniture
7025	Living room
7026	Street furniture
7027	Storage
7027	Wicker or rattan furniture
7028	Tables
7028	Bamboo furniture
7028	Stadium seating
7029	Park furniture 
7030	Door furniture
7030	Wood finishing
7031	Park furniture 
7032	Aquarium furniture
7033	Bamboo furniture
7033	Wicker or rattan furniture
7034	Concrete furniture
7034	Occasional furniture
7035	Door furniture
7035	Hutch
7036	Bamboo furniture
7036	Bar furniture
7036	Living room
7037	Metal furniture
7037	Stadium seating
7037	Occasional furniture
7038	Sets
7038	Aquarium furniture
7039	Concrete furniture
7039	Sword furniture
7039	Casegoods
7040	Tables
7040	Bamboo furniture
7040	Wood finishing
7041	Aquarium furniture
7042	Bamboo furniture
7042	Door furniture
7043	Casegoods
7044	Outdoor Furniture
7044	Sleeping or laying
7045	Entertainment
7045	Sets
7045	Couches and Sofas
7046	Bamboo furniture
7047	Park furniture 
7048	Sleeping or laying
7048	Bedrooms
7049	Storage
7049	Hutch
7049	Living room
7050	Tables
7050	Childrens furniture
7051	Outdoor Furniture
7051	Tables
7051	Hutch
7052	Wooden furniture
7052	Childrens furniture
7052	List of chairs
7053	Wood finishing
7054	Bedrooms
7054	Decorative arts
7055	Entertainment
7056	Sword furniture
7057	Stadium seating
7058	Wicker or rattan furniture
7058	Door furniture
7058	Stadium seating
7059	Street furniture
7060	Tables
7060	Sets
7061	Storage
7061	Bamboo furniture
7062	Street furniture
7062	Bedrooms
7062	Decorative arts
7063	Outdoor Furniture
7063	Couches and Sofas
7063	Decorative arts
7064	Bamboo furniture
7064	Metal furniture
7064	Door furniture
7065	Glass furniture
7066	Wicker or rattan furniture
7066	Childrens furniture
7067	Door furniture
7068	Outdoor Furniture
7068	Glass furniture
7068	Bar furniture
7069	List of chairs
7070	Wooden furniture
7070	Couches and Sofas
7071	Wooden furniture
7071	Casegoods
7071	Occasional furniture
7072	Sleeping or laying
7073	Hutch
7073	Occasional furniture
7074	Concrete furniture
7075	Entertainment
7075	Hutch
7075	Street furniture
7076	Storage
7077	Stadium seating
7078	Sword furniture
7079	Concrete furniture
7079	Decorative arts
7079	List of chairs
7080	Sleeping or laying
7080	Aquarium furniture
7080	Door furniture
7081	Sets
7082	Bamboo furniture
7083	Glass furniture
7084	Concrete furniture
7084	Couches and Sofas
7084	Sword furniture
7085	Tables
7085	Concrete furniture
7085	Door furniture
7086	Tables
7086	Aquarium furniture
7087	Street furniture
7088	Storage
7088	Living room
7089	Tables
7090	Entertainment
7091	Storage
7091	Decorative arts
7092	Decorative arts
7093	Sword furniture
7094	Street furniture
7094	Decorative arts
7095	Sets
7096	List of chairs
7097	Bedrooms
7097	Casegoods
7098	Wicker or rattan furniture
7098	Metal furniture
7099	Wicker or rattan furniture
7099	Hutch
7100	Sleeping or laying
7101	Bedrooms
7102	Childrens furniture
7102	Door furniture
7103	Stadium seating
7103	Sword furniture
7104	Wooden furniture
7104	Couches and Sofas
7105	Wicker or rattan furniture
7105	Street furniture
7105	Occasional furniture
7106	Sets
7106	Wicker or rattan furniture
7107	Glass furniture
7107	Aquarium furniture
7107	Decorative arts
7108	Stadium seating
7109	Storage
7109	Sets
7109	Bedrooms
7110	Outdoor Furniture
7110	Door furniture
7110	Casegoods
7111	Wicker or rattan furniture
7111	Couches and Sofas
7111	Wood finishing
7112	Entertainment
7113	Sleeping or laying
7113	Glass furniture
7113	Bedrooms
7114	Storage
7114	Metal furniture
7115	Sets
7116	Bar furniture
7116	Stadium seating
7117	Outdoor Furniture
7117	Storage
7117	Sword furniture
7118	Sword furniture
7118	Decorative arts
7118	List of chairs
7119	Tables
7120	Storage
7120	Door furniture
7120	Sword furniture
7121	Bamboo furniture
7121	Living room
7122	Concrete furniture
7122	Bar furniture
7122	Bedrooms
7123	Tables
7123	Wood finishing
7124	Storage
7124	Hutch
7124	Occasional furniture
7125	Wicker or rattan furniture
7125	Door furniture
7125	Decorative arts
7126	Sword furniture
7126	Casegoods
7127	Living room
7128	Childrens furniture
7129	Childrens furniture
7129	Occasional furniture
7129	Wood finishing
7130	Aquarium furniture
7130	Park furniture 
7131	Bar furniture
7131	Casegoods
7132	Outdoor Furniture
7132	Sleeping or laying
7132	Concrete furniture
7133	Couches and Sofas
7133	Casegoods
7134	Wooden furniture
7134	Concrete furniture
7134	Park furniture 
7135	Stadium seating
7135	Wood finishing
7136	Sets
7136	Wicker or rattan furniture
7137	Entertainment
7137	Street furniture
7138	Wicker or rattan furniture
7138	Stadium seating
7139	Bamboo furniture
7140	Sleeping or laying
7141	Entertainment
7141	Sword furniture
7142	Glass furniture
7142	Childrens furniture
7142	Occasional furniture
7143	Wooden furniture
7143	Bedrooms
7144	Sleeping or laying
7144	Casegoods
7145	Wooden furniture
7146	Entertainment
7146	Sets
7147	Childrens furniture
7148	Wicker or rattan furniture
7148	Street furniture
7148	List of chairs
7149	Decorative arts
7150	Outdoor Furniture
7150	Street furniture
7150	Bedrooms
7151	Street furniture
7151	Bedrooms
7152	List of chairs
7152	Wood finishing
7153	Hutch
7154	Wicker or rattan furniture
7154	Concrete furniture
7154	Childrens furniture
7155	Street furniture
7155	Decorative arts
7155	Wood finishing
7156	Park furniture 
7157	Wooden furniture
7158	Storage
7158	Street furniture
7159	Casegoods
7159	Living room
7160	Decorative arts
7161	Storage
7161	Park furniture 
7162	Sleeping or laying
7162	Casegoods
7163	Bamboo furniture
7163	Park furniture 
7164	Wooden furniture
7164	Casegoods
7165	Metal furniture
7165	Bedrooms
7166	Wooden furniture
7167	Sets
7167	Glass furniture
7168	Couches and Sofas
7169	Wicker or rattan furniture
7169	Bedrooms
7169	Decorative arts
7170	Bar furniture
7170	Stadium seating
7170	Sword furniture
7171	Wood finishing
7172	Couches and Sofas
7173	Living room
7173	List of chairs
7173	Wood finishing
7174	Metal furniture
7174	Couches and Sofas
7174	Occasional furniture
7175	Wooden furniture
7176	Concrete furniture
7176	Aquarium furniture
7177	Hutch
7177	Park furniture 
7178	List of chairs
7179	Sets
7179	Casegoods
7179	Decorative arts
7180	Door furniture
7180	Stadium seating
7181	Metal furniture
7181	Occasional furniture
7182	Sword furniture
7182	Wood finishing
7183	Outdoor Furniture
7184	Concrete furniture
7184	Hutch
7184	Sword furniture
7185	Glass furniture
7185	Couches and Sofas
7185	List of chairs
7186	Entertainment
7186	Wooden furniture
7186	Street furniture
7187	Entertainment
7187	Wood finishing
7188	List of chairs
7188	Wood finishing
7189	Door furniture
7189	Hutch
7189	Street furniture
7190	Bar furniture
7190	Stadium seating
7191	Street furniture
7191	Casegoods
7192	Outdoor Furniture
7192	Street furniture
7192	List of chairs
7193	Outdoor Furniture
7194	Sleeping or laying
7195	Wooden furniture
7195	Childrens furniture
7195	Park furniture 
7196	Concrete furniture
7196	Decorative arts
7196	Living room
7197	Sets
7197	Couches and Sofas
7198	Glass furniture
7198	Childrens furniture
7198	Sword furniture
7199	Glass furniture
7199	Childrens furniture
7199	Sword furniture
7200	Door furniture
7201	Tables
7201	Childrens furniture
7201	Wood finishing
7202	Entertainment
7202	Hutch
7202	Wood finishing
7203	Tables
7203	Bar furniture
7203	Decorative arts
7204	Door furniture
7204	Living room
7205	Sets
7205	Bar furniture
7205	Bedrooms
7206	Metal furniture
7207	Aquarium furniture
7207	Park furniture 
7207	Casegoods
7208	Wicker or rattan furniture
7209	Outdoor Furniture
7209	Couches and Sofas
7209	Living room
7210	Street furniture
7210	Occasional furniture
7211	Entertainment
7211	Sets
7212	Couches and Sofas
7212	Hutch
7212	Casegoods
7213	Wicker or rattan furniture
7213	Hutch
7213	Occasional furniture
7214	Concrete furniture
7214	Aquarium furniture
7214	Living room
7215	Concrete furniture
7215	Door furniture
7216	Wicker or rattan furniture
7216	Park furniture 
7216	Decorative arts
7217	Aquarium furniture
7217	Bar furniture
7218	Storage
7218	Door furniture
7219	Stadium seating
7219	Living room
7219	Occasional furniture
7220	Sleeping or laying
7220	Living room
7221	Sets
7221	List of chairs
7222	Casegoods
7223	Stadium seating
7223	Sword furniture
7224	Glass furniture
7225	Childrens furniture
7226	Hutch
7227	Bamboo furniture
7227	Aquarium furniture
7227	Childrens furniture
7228	Wicker or rattan furniture
7228	Metal furniture
7229	Street furniture
7230	Bar furniture
7230	Door furniture
7231	Concrete furniture
7231	Aquarium furniture
7231	Living room
7232	Sleeping or laying
7232	Wicker or rattan furniture
7232	Wood finishing
7233	Childrens furniture
7234	Sword furniture
7234	Decorative arts
7234	Living room
7235	Living room
7235	List of chairs
7235	Wood finishing
7236	Wicker or rattan furniture
7236	Door furniture
7237	Bamboo furniture
7237	Stadium seating
7238	Glass furniture
7238	Hutch
7239	Storage
7240	Bar furniture
7241	Occasional furniture
7242	Bedrooms
7242	Living room
7243	Wooden furniture
7243	Bedrooms
7243	Wood finishing
7244	Entertainment
7244	Park furniture 
7245	Bedrooms
7246	Tables
7246	Wicker or rattan furniture
7246	Glass furniture
7247	Sleeping or laying
7247	Couches and Sofas
7248	Occasional furniture
7249	Sleeping or laying
7249	Aquarium furniture
7250	Tables
7250	Bamboo furniture
7251	Hutch
7251	Bedrooms
7252	Wooden furniture
7253	Sleeping or laying
7253	Storage
7253	Living room
7254	Aquarium furniture
7254	Wood finishing
7255	Storage
7255	Couches and Sofas
7256	Sleeping or laying
7256	Entertainment
7256	Aquarium furniture
7257	Storage
7257	Street furniture
7258	Glass furniture
7258	Casegoods
7258	Living room
7259	Park furniture 
7259	Casegoods
7260	Sleeping or laying
7260	List of chairs
7261	Casegoods
7261	List of chairs
7262	List of chairs
7263	Glass furniture
7264	Metal furniture
7264	Concrete furniture
7265	Outdoor Furniture
7265	Storage
7266	Sleeping or laying
7266	Bar furniture
7266	Living room
7267	Sets
7267	Concrete furniture
7267	Casegoods
7268	Concrete furniture
7269	Bamboo furniture
7270	Wood finishing
7271	Sets
7271	Wicker or rattan furniture
7272	Concrete furniture
7272	Aquarium furniture
7272	Decorative arts
7273	Tables
7274	Decorative arts
7274	Living room
7275	Tables
7275	Aquarium furniture
7276	Childrens furniture
7277	Childrens furniture
7278	Tables
7278	Bamboo furniture
7278	Park furniture 
7279	Bedrooms
7280	Sleeping or laying
7281	Metal furniture
7282	Couches and Sofas
7283	Tables
7284	Outdoor Furniture
7285	Bamboo furniture
7285	Occasional furniture
7286	Storage
7286	Wooden furniture
7286	Sword furniture
7287	Sleeping or laying
7287	Aquarium furniture
7287	Bar furniture
7288	Wicker or rattan furniture
7288	Aquarium furniture
7289	Entertainment
7290	Wooden furniture
7291	Entertainment
7291	Couches and Sofas
7291	Bar furniture
7292	Bar furniture
7292	Childrens furniture
7292	Door furniture
7293	Outdoor Furniture
7294	Wicker or rattan furniture
7294	Bar furniture
7295	Sleeping or laying
7295	Glass furniture
7295	Wood finishing
7296	Sleeping or laying
7296	Bamboo furniture
7296	Bar furniture
7297	Tables
7298	Concrete furniture
7298	Hutch
7299	Tables
7299	Glass furniture
7299	List of chairs
7300	Wicker or rattan furniture
7300	Aquarium furniture
7301	Sets
7301	Wooden furniture
7301	Decorative arts
7302	Couches and Sofas
7302	Childrens furniture
7302	Door furniture
7303	Decorative arts
7304	Sets
7305	Aquarium furniture
7305	Bar furniture
7306	Childrens furniture
7306	Stadium seating
7307	Entertainment
7307	Bamboo furniture
7307	Bedrooms
7308	Childrens furniture
7308	Street furniture
7309	Decorative arts
7310	Outdoor Furniture
7310	Glass furniture
7311	Outdoor Furniture
7311	Childrens furniture
7312	Tables
7312	Storage
7312	Living room
7313	Tables
7313	Bedrooms
7314	Storage
7315	Bamboo furniture
7315	Decorative arts
7316	Tables
7316	Metal furniture
7316	List of chairs
7317	Door furniture
7318	Outdoor Furniture
7318	Metal furniture
7318	Decorative arts
7319	Street furniture
7319	Casegoods
7320	Outdoor Furniture
7320	Metal furniture
7320	Occasional furniture
7321	Glass furniture
7321	Sword furniture
7321	Bedrooms
7322	Living room
7323	Living room
7324	Outdoor Furniture
7324	Wicker or rattan furniture
7324	List of chairs
7325	Sleeping or laying
7326	Metal furniture
7326	Hutch
7326	Sword furniture
7327	Tables
7327	Stadium seating
7327	Occasional furniture
7328	Sleeping or laying
7328	Storage
7328	List of chairs
7329	Aquarium furniture
7329	Hutch
7329	Occasional furniture
7330	Hutch
7330	List of chairs
7331	Sets
7331	Bamboo furniture
7331	Park furniture 
7332	Bar furniture
7333	Aquarium furniture
7334	Entertainment
7334	Street furniture
7334	List of chairs
7335	Aquarium furniture
7335	Casegoods
7336	Entertainment
7336	Wooden furniture
7337	Entertainment
7338	Wicker or rattan furniture
7338	Sword furniture
7338	Wood finishing
7339	Metal furniture
7339	Couches and Sofas
7340	Entertainment
7340	Glass furniture
7341	Wooden furniture
7341	Bedrooms
7341	Decorative arts
7342	Tables
7342	Couches and Sofas
7343	Aquarium furniture
7343	Bedrooms
7344	Door furniture
7344	Casegoods
7344	Decorative arts
7345	Bamboo furniture
7345	Occasional furniture
7346	Sword furniture
7347	Childrens furniture
7348	Bamboo furniture
7348	Metal furniture
7349	Sleeping or laying
7350	Entertainment
7350	Metal furniture
7350	Concrete furniture
7351	Entertainment
7351	Sword furniture
7352	Door furniture
7352	Decorative arts
7353	Occasional furniture
7354	Concrete furniture
7355	Tables
7355	Storage
7356	Metal furniture
7356	Wood finishing
7357	Glass furniture
7357	Concrete furniture
7357	Wood finishing
7358	Couches and Sofas
7358	Bar furniture
7359	Sets
7359	Wooden furniture
7359	Casegoods
7360	Storage
7360	Childrens furniture
7360	Living room
7361	Wicker or rattan furniture
7361	Glass furniture
7362	Door furniture
7363	Bamboo furniture
7363	Sword furniture
7364	Entertainment
7364	Wicker or rattan furniture
7365	Hutch
7365	Bedrooms
7366	Storage
7367	Bar furniture
7367	Stadium seating
7368	Bamboo furniture
7368	Glass furniture
7368	Couches and Sofas
7369	Sets
7369	Childrens furniture
7369	Park furniture 
7370	Aquarium furniture
7371	Bar furniture
7371	Park furniture 
7371	Casegoods
7372	Outdoor Furniture
7373	Couches and Sofas
7374	Sleeping or laying
7374	Metal furniture
7374	Wood finishing
7375	Tables
7376	Outdoor Furniture
7376	Street furniture
7377	Sleeping or laying
7377	Storage
7377	List of chairs
7378	Bamboo furniture
7379	Wooden furniture
7380	Outdoor Furniture
7381	Wicker or rattan furniture
7381	Childrens furniture
7382	Metal furniture
7383	Glass furniture
7383	Bedrooms
7384	Door furniture
7385	List of chairs
7386	Childrens furniture
7386	Hutch
7387	Outdoor Furniture
7388	Metal furniture
7388	Living room
7388	List of chairs
7389	Entertainment
7390	Metal furniture
7390	Glass furniture
7391	Stadium seating
7391	List of chairs
7392	Concrete furniture
7392	Hutch
7392	Living room
7393	Hutch
7393	List of chairs
7393	Occasional furniture
7394	Occasional furniture
7395	List of chairs
7396	Wooden furniture
7396	Couches and Sofas
7397	Wicker or rattan furniture
7397	Aquarium furniture
7397	Stadium seating
7398	Tables
7398	Bar furniture
7398	Decorative arts
7399	Wicker or rattan furniture
7400	Outdoor Furniture
7400	Bedrooms
7401	Couches and Sofas
7401	Bedrooms
7402	Tables
7403	Sleeping or laying
7404	Childrens furniture
7405	Stadium seating
7406	Sword furniture
7407	Couches and Sofas
7408	Outdoor Furniture
7409	Childrens furniture
7409	Living room
7409	Occasional furniture
7410	Concrete furniture
7411	Door furniture
7412	Wooden furniture
7412	Hutch
7413	Stadium seating
7414	Glass furniture
7414	Park furniture 
7414	Stadium seating
7415	List of chairs
7416	Park furniture 
7416	List of chairs
7417	Sets
7417	Street furniture
7418	Bamboo furniture
7418	Bar furniture
7419	Wicker or rattan furniture
7419	Door furniture
7420	Sword furniture
7421	Glass furniture
7421	Hutch
7422	Storage
7422	Aquarium furniture
7422	Casegoods
7423	Street furniture
7423	List of chairs
7423	Occasional furniture
7424	Glass furniture
7425	Concrete furniture
7425	Wood finishing
7426	Sleeping or laying
7426	Bar furniture
7426	Sword furniture
7427	Tables
7427	Aquarium furniture
7428	Sleeping or laying
7428	Entertainment
7428	List of chairs
7429	Entertainment
7429	Storage
7429	Street furniture
7430	Sets
7430	Aquarium furniture
7431	Glass furniture
7431	Occasional furniture
7432	Outdoor Furniture
7432	Wicker or rattan furniture
7433	Aquarium furniture
7434	Entertainment
7434	Sets
7434	Occasional furniture
7435	Entertainment
7435	Park furniture 
7436	Glass furniture
7436	Bedrooms
7437	Wicker or rattan furniture
7438	Concrete furniture
7438	Bar furniture
7439	Wicker or rattan furniture
7440	Casegoods
7440	List of chairs
7441	Occasional furniture
7442	Sleeping or laying
7443	Tables
7444	Metal furniture
7444	Glass furniture
7444	Wood finishing
7445	Sets
7445	Aquarium furniture
7446	Bedrooms
7447	Wooden furniture
7447	Wicker or rattan furniture
7447	Glass furniture
7448	Casegoods
7449	Metal furniture
7450	Wooden furniture
7450	Bamboo furniture
7451	Outdoor Furniture
7451	Casegoods
7451	Living room
7452	Outdoor Furniture
7452	Park furniture 
7453	Door furniture
7453	Sword furniture
7454	Tables
7454	Door furniture
7454	Hutch
7455	Entertainment
7455	Wicker or rattan furniture
7455	Bedrooms
7456	Aquarium furniture
7456	Casegoods
7456	Occasional furniture
7457	Door furniture
7458	Park furniture 
7458	Occasional furniture
7459	Storage
7459	Aquarium furniture
7459	Occasional furniture
7460	Couches and Sofas
7461	Outdoor Furniture
7461	Sets
7461	Door furniture
7462	Decorative arts
7463	Glass furniture
7463	Street furniture
7464	Wicker or rattan furniture
7464	Street furniture
7465	Sleeping or laying
7465	Bamboo furniture
7465	List of chairs
7466	Decorative arts
7467	Sets
7467	Childrens furniture
7468	Hutch
7469	Entertainment
7470	Metal furniture
7470	Living room
7471	Wooden furniture
7471	Concrete furniture
7472	List of chairs
7473	Wooden furniture
7474	Tables
7474	Glass furniture
7474	Wood finishing
7475	Bamboo furniture
7476	Childrens furniture
7476	Street furniture
7477	Bar furniture
7477	List of chairs
7478	Childrens furniture
7478	Bedrooms
7478	Occasional furniture
7479	Outdoor Furniture
7479	Wooden furniture
7479	Decorative arts
7480	Sword furniture
7481	Storage
7481	Concrete furniture
7481	Hutch
7482	Outdoor Furniture
7482	Sleeping or laying
7483	Entertainment
7483	Door furniture
7483	List of chairs
7484	Park furniture 
7485	Wicker or rattan furniture
7485	Sword furniture
7486	Concrete furniture
7486	Childrens furniture
7486	Living room
7487	Outdoor Furniture
7487	Concrete furniture
7488	Street furniture
7489	Park furniture 
7489	Wood finishing
7490	Tables
7490	Aquarium furniture
7490	Wood finishing
7491	Decorative arts
7492	Living room
7493	Outdoor Furniture
7493	Wooden furniture
7493	Street furniture
7494	Bar furniture
7494	Casegoods
7494	Living room
7495	Entertainment
7495	Sets
7495	Park furniture 
7496	Sets
7496	Metal furniture
7496	Bedrooms
7497	Storage
7497	Metal furniture
7497	Bedrooms
7498	Door furniture
7498	Stadium seating
7498	Bedrooms
7499	Wicker or rattan furniture
7500	Glass furniture
7501	Wicker or rattan furniture
7501	Couches and Sofas
7501	Aquarium furniture
7502	Outdoor Furniture
7502	Sets
7503	Metal furniture
7503	Bar furniture
7503	Living room
7504	Sleeping or laying
7504	Wicker or rattan furniture
7505	Entertainment
7506	Sleeping or laying
7506	Hutch
7506	Street furniture
7507	Storage
7508	Entertainment
7508	Bar furniture
7508	Decorative arts
7509	Concrete furniture
7509	Living room
7509	Wood finishing
7510	Hutch
7510	Sword furniture
7511	Outdoor Furniture
7512	Wicker or rattan furniture
7512	Concrete furniture
7513	Childrens furniture
7513	Park furniture 
7513	Wood finishing
7514	Tables
7514	Decorative arts
7515	Decorative arts
7516	Storage
7516	Wood finishing
7517	Entertainment
7517	Bedrooms
7518	Childrens furniture
7519	Sleeping or laying
7519	List of chairs
7519	Wood finishing
7520	Sets
7520	Bar furniture
7520	Bedrooms
7521	Park furniture 
7521	Sword furniture
7521	Casegoods
7522	List of chairs
7523	Glass furniture
7523	Hutch
7524	Wicker or rattan furniture
7524	Door furniture
7525	Tables
7525	Door furniture
7526	Street furniture
7527	Glass furniture
7527	Decorative arts
7528	Aquarium furniture
7528	Decorative arts
7529	Sleeping or laying
7529	Childrens furniture
7529	Decorative arts
7530	Sword furniture
7531	Wooden furniture
7531	Stadium seating
7532	Sets
7532	Park furniture 
7532	Occasional furniture
7533	Metal furniture
7533	Concrete furniture
7533	Childrens furniture
7534	Outdoor Furniture
7534	Metal furniture
7534	Couches and Sofas
7535	Entertainment
7535	Metal furniture
7536	Sets
7536	Casegoods
7537	Casegoods
7537	Wood finishing
7538	Sets
7538	Bamboo furniture
7539	Park furniture 
7540	Bamboo furniture
7540	Sword furniture
7540	Casegoods
7541	Sword furniture
7541	Occasional furniture
7542	Entertainment
7542	Door furniture
7543	Bar furniture
7544	Tables
7545	Bamboo furniture
7545	Decorative arts
7546	Outdoor Furniture
7546	Childrens furniture
7546	Stadium seating
7547	Tables
7547	Decorative arts
7548	Bedrooms
7549	Outdoor Furniture
7549	Park furniture 
7550	Tables
7551	Outdoor Furniture
7551	Door furniture
7552	Wooden furniture
7552	List of chairs
7553	Wooden furniture
7554	Decorative arts
7555	Glass furniture
7556	Wooden furniture
7556	Childrens furniture
7557	Sword furniture
7558	Occasional furniture
7559	Sets
7559	Childrens furniture
7559	Street furniture
7560	Glass furniture
7560	Casegoods
7560	Occasional furniture
7561	Hutch
7561	Living room
7562	Glass furniture
7562	Aquarium furniture
7562	Street furniture
7563	Tables
7563	Bar furniture
7563	Street furniture
7564	Bamboo furniture
7564	Aquarium furniture
7564	Bar furniture
7565	Hutch
7565	Sword furniture
7565	Wood finishing
7566	Bar furniture
7566	Living room
7567	Outdoor Furniture
7567	Storage
7567	Bedrooms
7568	Concrete furniture
7569	Outdoor Furniture
7569	Wicker or rattan furniture
7569	Casegoods
7570	Couches and Sofas
7570	Park furniture 
7570	List of chairs
7571	Tables
7571	Glass furniture
7572	Entertainment
7572	Casegoods
7573	Wooden furniture
7574	Outdoor Furniture
7574	Metal furniture
7574	Concrete furniture
7575	Living room
7576	Bedrooms
7577	Sword furniture
7578	Entertainment
7579	Occasional furniture
7580	Sleeping or laying
7580	Wicker or rattan furniture
7581	Bar furniture
7581	Living room
7582	Bamboo furniture
7583	Bar furniture
7583	Childrens furniture
7583	Sword furniture
7584	Bamboo furniture
7584	Bar furniture
7584	Wood finishing
7585	Bamboo furniture
7585	Stadium seating
7586	Concrete furniture
7586	Park furniture 
7586	Wood finishing
7587	Entertainment
7587	Casegoods
7588	Door furniture
7588	Hutch
7589	Concrete furniture
7590	Bamboo furniture
7591	Glass furniture
7591	Decorative arts
7592	Couches and Sofas
7592	Aquarium furniture
7593	Childrens furniture
7593	Casegoods
7594	Wood finishing
7595	Park furniture 
7595	Occasional furniture
7596	Wooden furniture
7596	Concrete furniture
7596	Aquarium furniture
7597	Concrete furniture
7598	Metal furniture
7598	Couches and Sofas
7599	Door furniture
7600	Decorative arts
7601	Wooden furniture
7602	Door furniture
7603	Metal furniture
7604	Entertainment
7604	Sets
7604	Bamboo furniture
7605	Park furniture 
7606	Entertainment
7606	Childrens furniture
7606	Hutch
7607	List of chairs
7607	Wood finishing
7608	Decorative arts
7609	Hutch
7610	Park furniture 
7611	Casegoods
7612	Sleeping or laying
7612	Concrete furniture
7612	List of chairs
7613	Tables
7614	List of chairs
7615	Decorative arts
7616	Occasional furniture
7617	List of chairs
7618	Concrete furniture
7618	Park furniture 
7618	Sword furniture
7619	Wood finishing
7620	Bar furniture
7621	Aquarium furniture
7621	List of chairs
7622	Bamboo furniture
7623	Sleeping or laying
7623	Wicker or rattan furniture
7623	Occasional furniture
7624	Sets
7624	Bamboo furniture
7624	List of chairs
7625	Outdoor Furniture
7625	Couches and Sofas
7626	Couches and Sofas
7626	Stadium seating
7627	Couches and Sofas
7627	Stadium seating
7628	Outdoor Furniture
7628	Hutch
7628	Casegoods
7629	Wood finishing
7630	Entertainment
7630	Park furniture 
7631	Street furniture
7632	Couches and Sofas
7632	Stadium seating
7632	Street furniture
7633	Hutch
7633	Park furniture 
7633	Casegoods
